"","Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3","X"
"1","1/2/2007","00:00:00","0.326","0.128","243.150","1.400","0.000","0.000",0,0.000694444444444444
"2","1/2/2007","00:01:00","0.326","0.130","243.320","1.400","0.000","0.000",0,0.00138888888888889
"3","1/2/2007","00:02:00","0.324","0.132","243.510","1.400","0.000","0.000",0,0.00208333333333333
"4","1/2/2007","00:03:00","0.324","0.134","243.900","1.400","0.000","0.000",0,0.00277777777777778
"5","1/2/2007","00:04:00","0.322","0.130","243.160","1.400","0.000","0.000",0,0.00347222222222222
"6","1/2/2007","00:05:00","0.320","0.126","242.290","1.400","0.000","0.000",0,0.00416666666666667
"7","1/2/2007","00:06:00","0.320","0.126","242.460","1.400","0.000","0.000",0,0.00486111111111111
"8","1/2/2007","00:07:00","0.320","0.126","242.630","1.400","0.000","0.000",0,0.00555555555555556
"9","1/2/2007","00:08:00","0.320","0.128","242.700","1.400","0.000","0.000",0,0.00625
"10","1/2/2007","00:09:00","0.236","0.000","242.890","1.000","0.000","0.000",0,0.00694444444444444
"11","1/2/2007","00:10:00","0.226","0.000","243.000","1.000","0.000","0.000",0,0.00763888888888889
"12","1/2/2007","00:11:00","0.224","0.000","242.500","1.000","0.000","0.000",0,0.00833333333333333
"13","1/2/2007","00:12:00","0.224","0.000","242.180","1.000","0.000","0.000",0,0.00902777777777778
"14","1/2/2007","00:13:00","0.224","0.000","242.150","1.000","0.000","0.000",0,0.00972222222222222
"15","1/2/2007","00:14:00","0.224","0.000","242.730","1.000","0.000","0.000",0,0.0104166666666667
"16","1/2/2007","00:15:00","0.260","0.000","242.850","1.200","0.000","0.000",0,0.0111111111111111
"17","1/2/2007","00:16:00","0.304","0.096","242.890","1.200","0.000","0.000",0,0.0118055555555556
"18","1/2/2007","00:17:00","0.302","0.096","242.870","1.200","0.000","0.000",0,0.0125
"19","1/2/2007","00:18:00","0.302","0.094","242.190","1.200","0.000","0.000",0,0.0131944444444444
"20","1/2/2007","00:19:00","0.300","0.094","242.230","1.200","0.000","0.000",0,0.0138888888888889
"21","1/2/2007","00:20:00","0.300","0.094","242.160","1.200","0.000","0.000",0,0.0145833333333333
"22","1/2/2007","00:21:00","0.298","0.094","242.290","1.200","0.000","0.000",0,0.0152777777777778
